track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_min,danceability_category,energy_category,valence_category,popularity_category,duration_categorys,year,category,nominee,artist,winner
3urkfnML0dfP4UIO9SBSUN,Rudimental;Jess Glynne;Macklemore;Dan Caplen,Coffee Chill,These Days,1,211760,False,0.654,0.798,0,-4.084,1,0.045,0.188,0.0,0.15,0.576,92.209,4,funk,3.53,Media,Alta,Neutral,Popularidad Baja,Duración_Media,2007,Best Country Album,These Days,Vince Gill,1
1EZYmas3jh7aUKqCF9EI5A,CASTLEBEAT,VHS,These Days,50,156497,False,0.584,0.772,4,-9.993,1,0.0295,0.757,0.887,0.115,0.946,129.999,4,garage,2.61,Media,Alta,Positiva,Popularidad Media,Poca_Duración,2007,Best Country Album,These Days,Vince Gill,1
2kN05N1AQQplsgFweFAqYb,Foo Fighters,Wasting Light,These Days,64,298266,False,0.531,0.664,2,-4.428,1,0.0304,0.000261,0.0,0.205,0.215,135.3,4,grunge,4.97,Media,Media,Negativa,Popularidad Alta,Mucha_Duración,2007,Best Country Album,These Days,Vince Gill,1
3urkfnML0dfP4UIO9SBSUN,Rudimental;Jess Glynne;Macklemore;Dan Caplen,Coffee Chill,These Days,1,211760,False,0.654,0.798,0,-4.084,1,0.045,0.188,0.0,0.15,0.576,92.209,4,house,3.53,Media,Alta,Neutral,Popularidad Baja,Duración_Media,2007,Best Country Album,These Days,Vince Gill,1
3TvjBWbxOJSxi3qXk1zWQb,Rudimental;Jess Glynne;Macklemore;Dan Caplen,La Fine dell'Estate,These Days,1,211760,False,0.654,0.798,0,-4.084,1,0.045,0.188,0.0,0.15,0.576,92.209,4,house,3.53,Media,Alta,Neutral,Popularidad Baja,Duración_Media,2007,Best Country Album,These Days,Vince Gill,1
5DWhp2mGKWtxVk7Z2md8jg,Rudimental;Jess Glynne;Macklemore;Dan Caplen,Music for Rainy Days,These Days,0,211760,False,0.654,0.798,0,-4.084,1,0.045,0.188,0.0,0.15,0.576,92.209,4,house,3.53,Media,Alta,Neutral,Popularidad Baja,Duración_Media,2007,Best Country Album,These Days,Vince Gill,1
1Jn67dBop9m1of7NrYzmm6,Rudimental;Jess Glynne;Macklemore;Dan Caplen,10's Dance Classics,These Days,0,211760,False,0.654,0.798,0,-4.084,1,0.045,0.188,0.0,0.15,0.576,92.209,4,house,3.53,Media,Alta,Neutral,Popularidad Baja,Duración_Media,2007,Best Country Album,These Days,Vince Gill,1
3Ozu8P9g9rZUDiKGG5ZUmx,Connor Price,These Days,These Days,64,148807,False,0.839,0.519,7,-5.883,0,0.277,0.253,0.000656,0.11,0.338,170.051,4,sad,2.48,Alta,Media,Neutral,Popularidad Alta,Poca_Duración,2007,Best Country Album,These Days,Vince Gill,1
7yfhESjiagb2x1WEWlgpbb,Jim Yosef;Anna Yvette,Linked,Linked,55,223218,False,0.613,0.905,6,-3.943,1,0.045,0.0594,0.00634,0.427,0.251,99.971,3,edm,3.72,Media,Alta,Negativa,Popularidad Media,Duración_Media,2019,Best Dance Recording,Linked,Bonobo,1
3rCtueI7qBN2kZBZnXuk5K,Bonobo,Linked,Linked,54,369461,False,0.713,0.725,6,-9.951,1,0.0385,0.539,0.886,0.111,0.24,122.041,4,electronic,6.16,Alta,Alta,Negativa,Popularidad Media,Mucha_Duración,2019,Best Dance Recording,Linked,Bonobo,1
